Date, Open, High, Low, Close
12/12/19,7744.15,7787.74,7720.50,7741.07
12/11/19,7752.23,7801.10,7751.53,7786.41
12/10/19,7760.17,7777.45,7735.61,7736.18
12/09/19,7825.13,7838.49,7779.80,7779.80
12/06/19,7796.44,7811.19,7760.75,7801.72
12/05/19,7789.74,7817.97,7777.07,7790.91
12/04/19,7848.53,7848.53,7772.05,7815.93
12/03/19,7858.96,7888.46,7829.35,7855.18
12/02/19,7769.26,7877.19,7753.76,7877.19
11/29/19,7754.70,7773.83,7712.39,7738.96
11/28/19,7808.58,7826.82,7748.95,7768.66
11/27/19,7747.43,7842.52,7744.03,7836.89
11/26/19,7760.38,7817.20,7707.80,7707.80
11/25/19,7787.48,7803.87,7750.23,7771.62
11/22/19,7754.51,7824.59,7708.09,7824.59
11/21/19,7882.04,7882.04,7744.18,7818.89
11/20/19,7896.56,7898.06,7851.85,7898.06
11/19/19,7882.26,7912.14,7882.26,7912.14
11/18/19,7925.19,7925.19,7859.04,7880.94
11/15/19,7938.59,7946.42,7905.53,7932.96
11/14/19,7926.07,7933.71,7881.24,7933.71
11/13/19,7988.78,7988.78,7914.45,7947.47
11/12/19,8009.97,8012.34,7962.72,8012.34
11/11/19,8055.24,8059.58,8002.77,8009.38
11/08/19,8044.90,8065.76,7989.48,8065.76
11/07/2019,,,,8073.55
11/06/19,8216.92,8216.92,8025.88,8025.88
11/05/19,8055.88,8216.68,8055.56,8216.68
11/04/19,8002.47,8059.82,8002.47,8059.65
10/31/19,8020.43,8020.68,7967.54,7977.12
10/30/19,8020.77,8020.77,7965.77,8020.06
10/29/19,7947.56,7991.19,7928.73,7991.19
10/28/19,7935.01,7954.71,7912.87,7946.53
10/25/19,7985.52,7985.52,7917.16,7922.50
10/24/19,7927.60,7968.14,7914.58,7950.98
10/23/19,7929.09,7933.76,7890.65,7933.76
10/22/19,7884.99,7955.24,7884.02,7955.24
10/21/19,7874.80,7891.95,7849.79,7891.13
10/18/19,7934.09,7934.09,7885.23,7885.23
10/17/19,7913.55,7930.55,7894.58,7930.55
10/16/19,7838.83,7915.30,7814.47,7915.30
10/15/19,7887.46,7887.46,7816.08,7840.31
10/14/19,7854.04,7908.34,7853.92,7884.29
10/11/19,7766.72,7874.16,7749.55,7849.94
10/10/19,7711.22,7765.03,7706.78,7765.03
10/09/19,7742.46,7742.46,7676.47,7681.25
10/08/19,7706.77,7792.55,7691.05,7756.72
10/07/19,7697.42,7715.85,7655.46,7683.22
10/04/19,7570.43,7704.60,7570.43,7704.60
10/03/19,7587.69,7587.69,7514.05,7545.55
10/02/19,7721.56,7721.56,7610.68,7610.68
10/01/19,7785.24,7792.58,7710.55,7739.86
09/30/19,7825.20,7825.20,7775.51,7779.07
09/27/19,7908.39,7908.39,7808.19,7819.22
09/26/19,7893.67,7905.74,7865.10,7896.48
09/25/19,7890.00,7896.24,7790.29,7896.24
09/24/19,7865.38,7893.94,7850.27,7893.94
09/23/19,7872.12,7877.44,7823.13,7867.51
09/20/19,7902.33,7906.25,7864.11,7871.11
09/19/19,7911.88,7919.85,7885.18,7911.32
09/18/19,7932.69,7932.69,7892.95,7915.29
09/17/19,7969.67,7969.67,7910.25,7932.23
09/16/19,7981.61,7996.90,7911.69,7996.90
09/13/19,7950.16,7995.13,7941.53,7992.32
09/12/19,7947.25,7960.24,7937.99,7944.43
09/11/19,7931.38,7967.90,7921.59,7967.90
09/10/19,7933.22,7938.33,7893.74,7929.48
09/09/19,7952.88,7961.01,7927.89,7960.12
09/06/19,7915.62,7969.34,7915.62,7933.47
09/05/19,7861.83,7916.96,7854.16,7898.19
09/04/19,7838.77,7852.16,7794.58,7840.86
09/03/19,7914.92,7920.91,7804.71,7804.71
09/02/19,7954.15,7956.68,7918.53,7918.53
08/30/19,7918.44,7986.26,7903.01,7979.66
08/29/19,7851.26,7892.81,7800.97,7892.81
08/28/19,7762.58,7847.50,7734.42,7847.50
08/27/19,7832.42,7832.42,7723.94,7747.38
08/23/19,7806.05,7889.41,7747.39,7889.41
08/22/19,7842.09,7848.83,7755.42,7848.83
08/20/19,7917.59,7917.59,7845.15,7886.91
08/19/19,7813.92,7938.35,7765.15,7938.35
08/16/19,7802.56,7885.94,7777.07,7795.98
08/15/19,7719.02,7828.86,7624.20,7828.86
08/14/19,7775.84,7892.43,7751.19,7858.65
08/13/19,7849.43,7850.87,7622.27,7788.45
