Date, Open, High, Low, Close, Volume
06/03/20, 68.85, 72.00, 67.95, 72.00, 2732170
06/02/20, 67.50, 68.90, 67.20, 67.75, 1987060
06/01/20, 66.30, 68.45, 65.55, 67.40, 1572310
05/29/20, 63.95, 66.30, 63.05, 66.30, 9905920
05/28/20, 63.05, 63.95, 62.55, 63.95, 1536120
05/27/20, 62.45, 63.00, 60.60, 63.00, 1509070
05/26/20, 61.90, 63.00, 60.00, 63.00, 2623190
05/22/20, 63.00, 63.00, 61.30, 62.30, 1363770
05/21/20, 64.00, 64.05, 62.50, 62.70, 2184190
05/20/20, 62.00, 63.95, 61.25, 63.95, 3266340
05/19/20, 61.15, 62.00, 61.05, 62.00, 1555360
05/18/20, 60.95, 61.00, 59.45, 61.00, 1319520
05/15/20, 61.00, 61.00, 60.50, 60.85, 5874650
05/14/20, 60.70, 61.00, 58.55, 61.00, 1636200
05/13/20, 61.00, 61.00, 60.45, 60.80, 1256170
05/12/20, 58.80, 61.00, 58.75, 61.00, 3478050
05/11/20, 58.00, 58.75, 57.75, 58.60, 535920
05/08/20, 59.65, 59.65, 56.75, 57.00, 6199560
05/07/20, 58.95, 59.00, 58.75, 58.80, 1092790
05/06/20, 59.00, 59.50, 58.50, 58.85, 4352740
05/05/20, 58.70, 58.95, 58.20, 58.70, 2156750
05/04/20, 58.50, 58.50, 57.80, 58.00, 3419590
04/30/20, 59.00, 59.15, 58.50, 58.50, 2638530
04/29/20, 58.40, 59.05, 58.30, 58.50, 1843740
04/28/20, 58.95, 59.15, 58.00, 58.40, 4931350
04/27/20, 59.50, 59.60, 58.35, 58.95, 3581770
04/24/20, 60.00, 61.50, 59.20, 59.50, 1272440
04/23/20, 60.40, 60.85, 59.85, 60.00, 1662580
04/22/20, 59.80, 60.15, 59.20, 60.00, 3226130
04/21/20, 60.75, 61.45, 59.80, 60.00, 2056500
04/20/20, 61.60, 61.80, 60.05, 60.75, 1581860
04/17/20, 59.40, 61.85, 59.40, 60.90, 3407130
04/16/20, 63.00, 63.00, 57.50, 57.50, 4096810
04/15/20, 62.85, 64.15, 62.50, 63.10, 3658540
04/14/20, 58.70, 61.00, 58.45, 61.00, 2879820
04/13/20, 58.10, 58.85, 57.70, 58.00, 1956590
04/08/20, 61.85, 61.85, 57.00, 57.05, 6531170
04/07/20, 62.95, 63.40, 59.70, 61.00, 3209690
04/06/20, 61.40, 62.15, 60.50, 62.00, 3846260
04/03/20, 61.00, 61.10, 60.10, 60.60, 1613260
04/02/20, 60.50, 62.00, 60.00, 60.55, 3130890
04/01/20, 61.50, 62.45, 61.00, 62.05, 3068010
03/31/20, 62.80, 63.90, 60.70, 61.80, 3723630
03/30/20, 63.90, 63.90, 59.15, 60.10, 3571860
03/27/20, 62.90, 64.95, 60.90, 63.95, 7848780
03/26/20, 56.50, 61.90, 56.50, 60.50, 3488980
03/25/20, 55.80, 56.90, 54.60, 55.40, 4533620
03/24/20, 52.10, 54.00, 51.55, 52.00, 3765650
03/23/20, 50.00, 54.20, 49.70, 51.40, 4152890
03/20/20, 56.50, 59.00, 52.00, 55.00, 3893850
03/19/20, 58.00, 58.25, 48.00, 55.50, 4101470
03/16/20, 65.00, 66.00, 60.15, 62.30, 1902200
03/13/20, 61.60, 68.00, 59.00, 68.00, 3398170
03/12/20, 71.00, 71.10, 65.10, 65.50, 2933630
03/11/20, 72.10, 73.45, 71.50, 72.80, 2688420
03/10/20, 66.00, 74.00, 64.00, 71.50, 3067790
03/09/20, 72.00, 72.00, 67.00, 67.00, 2586610
03/06/20, 77.00, 77.00, 74.10, 74.50, 1812990
03/05/20, 78.45, 78.95, 75.75, 77.00, 1718180
03/04/20, 78.00, 78.30, 76.45, 77.75, 1809740
03/03/20, 76.50, 78.50, 76.50, 77.95, 2457610
03/02/20, 75.50, 76.25, 74.10, 75.50, 3773810
02/28/20, 79.95, 79.95, 74.10, 74.10, 3983060
02/27/20, 80.00, 81.00, 80.00, 80.00, 2914090
02/26/20, 81.50, 81.65, 80.00, 81.00, 4129320
02/24/20, 82.05, 82.45, 81.60, 81.60, 2161070
02/21/20, 86.00, 86.00, 83.50, 84.00, 4588920
